,city,lat,long,temp,humidity,wind,cloudiness,country,date
273,ugoofaaru,5.67,73.0,83.64,71,2.91,17,MV,1586558787
274,coihaique,-45.58,-72.07,50.0,66,3.36,90,CL,1586558586
275,olafsvik,64.89,-23.71,36.52,80,13.82,36,IS,1586558788
276,obigarm,38.72,69.71,46.36,43,12.46,100,TJ,1586558788
277,phalodi,27.13,72.37,80.53,28,6.31,13,IN,1586558788
278,nuuk,64.18,-51.72,33.8,74,8.05,99,GL,1586558544
279,aswan,24.09,32.91,62.01,33,9.8,0,EG,1586558788
280,leningradskiy,69.38,178.42,10.76,87,8.21,38,RU,1586558788
281,synya,65.37,58.04,20.41,96,10.13,100,RU,1586558788
282,aldama,22.92,-98.07,93.99,74,5.99,79,MX,1586558788
283,mount isa,-20.73,139.5,73.4,27,9.17,99,AU,1586558549
284,souillac,-20.52,57.52,79.0,78,13.87,40,MU,1586558789
285,beloha,-25.17,45.05,71.46,80,13.94,40,MG,1586558789
286,ambon,-3.7,128.18,77.0,94,3.36,40,ID,1586558789
287,plettenberg bay,-34.05,23.37,62.98,55,2.75,14,ZA,1586558789
288,ambilobe,-13.2,49.05,72.95,83,4.61,10,MG,1586558563
289,katsuura,35.13,140.3,52.0,49,10.29,40,JP,1586558789
290,saint-francois,46.42,3.91,50.0,71,2.1,0,FR,1586558790
291,kouango,4.99,19.96,76.35,73,2.73,57,CF,1586558790
292,panama city,8.99,-79.52,91.4,59,12.75,20,PA,1586558712
293,kinablangan,7.69,126.55,81.84,64,6.26,51,PH,1586558790
294,codrington,-38.27,141.97,54.84,61,29.35,63,AU,1586558790
295,klaksvik,62.23,-6.59,44.6,93,10.29,100,FO,1586558549
296,tura,25.52,90.22,70.88,48,2.95,0,IN,1586558543
297,sao miguel do araguaia,-13.28,-50.16,76.19,79,1.45,14,BR,1586558790
298,half moon bay,37.46,-122.43,69.01,59,12.75,20,US,1586558791
299,suluq,31.67,20.25,57.11,74,8.84,0,LY,1586558791
300,grand gaube,-20.01,57.66,79.0,78,13.87,40,MU,1586558791
301,maceio,-9.67,-35.74,78.8,88,5.82,45,BR,1586558705
302,oktyabrskiy,54.48,53.47,37.85,70,10.98,97,RU,1586558791
303,trairi,-3.28,-39.27,80.08,83,6.55,100,BR,1586558791
304,tynda,55.17,124.72,33.03,72,3.65,44,RU,1586558791
305,lebu,-37.62,-73.65,56.77,91,9.71,78,CL,1586558509
306,buraydah,26.33,43.98,69.8,35,9.17,4,SA,1586558566
307,shimoda,34.67,138.95,48.99,48,1.01,77,JP,1586558519
308,beringovskiy,63.05,179.32,9.88,94,15.86,100,RU,1586558791
309,saint marys,30.73,-81.55,75.2,26,10.29,1,US,1586558580
310,kavaratti,10.57,72.64,84.13,70,6.11,0,IN,1586558792
311,karoi,-16.81,29.69,58.93,64,4.16,45,ZW,1586558792
312,colac,-38.33,143.58,53.01,93,5.99,70,AU,1586558792
313,oxelosund,58.67,17.1,33.8,74,1.86,3,SE,1586558792
314,pudozh,61.81,36.53,26.51,93,1.86,43,RU,1586558792
315,sayyan,15.17,44.32,58.71,36,3.51,0,YE,1586558792
316,limbang,4.75,115.0,78.8,94,3.36,75,MY,1586558792
317,olinda,-8.01,-34.86,86.0,74,5.82,40,BR,1586558793
318,ixtapa,20.7,-105.2,80.6,69,16.11,75,MX,1586558793
319,bubaque,11.28,-15.83,78.53,78,16.22,59,GW,1586558793
320,ishigaki,24.34,124.16,71.6,78,9.17,40,JP,1586558793
321,abu samrah,35.3,37.18,50.95,73,11.27,41,SY,1586558793
322,culebra,18.3,-65.3,84.2,74,11.41,1,PR,1586558793
323,hamilton,39.18,-84.53,50.0,39,9.17,75,US,1586558756
324,kaitangata,-46.28,169.85,59.0,73,2.75,0,NZ,1586558794
325,kabinda,-6.13,24.48,68.97,77,2.42,85,CD,1586558794
326,mersing,2.43,103.84,75.2,94,4.7,25,MY,1586558794
327,benguela,-12.58,13.41,77.99,82,2.28,1,AO,1586558794
328,san jose,37.34,-121.89,69.01,55,12.75,75,US,1586558608
329,vagay,57.94,69.02,37.42,97,4.68,99,RU,1586558796
330,broome,42.25,-75.83,39.99,55,19.46,90,US,1586558796
331,komsomolskiy,40.43,71.72,48.2,70,3.24,100,UZ,1586558796
332,te anau,-45.42,167.72,57.78,55,6.96,9,NZ,1586558796
333,marang,5.21,103.21,75.2,94,3.36,20,MY,1586558796
334,payo,-3.75,103.64,74.52,89,1.72,100,ID,1586558796
335,airai,-8.93,125.41,66.74,63,1.63,5,TL,1586558521
336,kirakira,-10.45,161.92,85.66,62,5.93,73,SB,1586558550
337,hammerfest,70.66,23.68,26.6,92,4.7,100,NO,1586558582
338,coos bay,43.37,-124.22,61.0,81,16.11,75,US,1586558797
339,mikkeli,61.69,27.27,26.01,100,4.7,48,FI,1586558757
340,luderitz,-26.65,15.16,57.2,82,3.36,0,NA,1586558505
341,yerbogachen,61.28,108.01,33.66,80,4.05,100,RU,1586558797
342,ambulu,-8.35,113.61,79.57,78,3.6,83,ID,1586558797
343,makakilo city,21.35,-158.09,82.4,64,9.17,90,US,1586558797
344,pangody,65.85,74.49,31.06,99,7.96,100,RU,1586558797
345,north myrtle beach,33.82,-78.68,63.0,20,18.34,1,US,1586558700
346,angoche,-16.23,39.91,75.18,87,8.28,11,MZ,1586558798
347,matay,28.42,30.78,60.15,53,5.95,0,EG,1586558798
348,aksarka,66.56,67.8,18.41,96,15.68,97,RU,1586558798
349,imbituba,-28.24,-48.67,68.0,64,8.05,40,BR,1586558577
350,sao filipe,14.9,-24.5,74.46,79,13.71,2,CV,1586558799
351,petersburg,37.23,-77.4,55.4,23,12.75,1,US,1586558800
352,san jeronimo,-11.95,-75.28,51.37,28,4.12,85,PE,1586558800
353,vuktyl,63.86,57.31,29.75,97,8.14,99,RU,1586558800
354,tilichiki,60.47,166.1,12.24,92,5.53,1,RU,1586558800
355,clarksville,36.53,-87.36,57.0,30,4.7,1,US,1586558800
356,kayerkan,69.35,87.76,21.2,85,24.61,40,RU,1586558801
357,boyolangu,-8.12,111.89,79.47,81,2.08,30,ID,1586558801
358,comodoro rivadavia,-45.87,-67.5,66.2,55,3.36,100,AR,1586558801
359,kaohsiung,22.62,120.31,73.0,78,3.36,20,TW,1586558801
360,dingle,11.0,122.67,81.21,71,10.67,36,PH,1586558801
361,wilmington,34.23,-77.94,63.0,18,17.22,1,US,1586558697
362,cuamba,-14.8,36.54,64.58,79,3.85,13,MZ,1586558801
363,deputatskiy,69.3,139.9,21.94,90,23.17,66,RU,1586558801
364,asau,46.43,26.4,45.0,48,10.29,67,RO,1586558528
365,urdoma,61.75,48.54,23.2,96,5.84,93,RU,1586558802
366,alofi,-19.06,-169.92,82.4,69,8.05,48,NU,1586558802
367,xinmin,41.99,122.83,26.6,68,2.24,0,CN,1586558802
368,sarangani,5.4,125.46,82.04,67,14.67,1,PH,1586558802
369,ust-maya,60.42,134.53,36.3,76,12.46,68,RU,1586558802
370,paamiut,61.99,-49.67,36.55,77,3.38,99,GL,1586558803
371,igarka,67.47,86.58,27.77,96,7.49,91,RU,1586558803
372,magdalena,14.2,121.43,80.01,78,1.12,20,PH,1586558803
373,lashio,22.93,97.75,64.85,44,0.98,12,MM,1586558803
374,arrifes,37.77,-25.7,59.0,77,8.05,20,PT,1586558803
375,vanavara,60.34,102.28,32.2,86,7.54,100,RU,1586558803
376,mehamn,71.04,27.85,26.13,89,18.28,99,NO,1586558806
377,jinxiang,22.86,115.7,70.36,79,4.56,92,CN,1586558806
378,netphen,50.92,8.1,55.0,57,2.24,72,DE,1586558807
379,barra do garcas,-15.89,-52.26,75.15,76,0.45,68,BR,1586558807
380,port keats,-14.25,129.55,73.58,87,12.46,79,AU,1586558807
381,kumbo,6.2,10.67,61.86,65,1.34,100,CM,1586558807
382,port lincoln,-34.73,135.87,61.72,62,14.54,99,AU,1586558807
383,kavieng,-2.57,150.8,84.11,73,5.12,99,PG,1586558807
384,manbij,36.53,37.95,48.2,87,11.7,74,SY,1586558808
385,lagos,6.58,3.75,80.6,88,5.86,20,NG,1586558669
386,tarboro,35.9,-77.54,57.99,26,11.41,1,US,1586558549
